Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","0,3","1,2","1,3","2,3"
,,,,,,
0.0,P5,Rest,P5,Rest,P8,Rest
12.0,P5,P8,P5,P4,P8,P5
24.0,m3,m6,m3,P4,P8,P5
36.0,P4,Rest,P8,Rest,P5,Rest
48.0,m3,P5,Rest,M3,Rest,Rest
60.0,P4,P8,Rest,P5,Rest,Rest
72.0,P5,P5,P5,P1,P1,P1
84.0,P1,P5,m3,P5,m3,-M3
96.0,-P4,P5,M3,P8,M6,-m3
108.0,-M2,m6,P4,m7,P5,-m3
120.0,-P4,P5,P5,P8,P8,P1
132.0,-P4,M3,Rest,M6,Rest,Rest
144.0,-P4,Rest,P5,Rest,P8,Rest
156.0,Rest,Rest,Rest,M6,P8,m3
168.0,Rest,M3,P5,Rest,Rest,m3
180.0,-P4,Rest,P5,Rest,P8,Rest
192.0,-m3,M3,Rest,P5,Rest,Rest
204.0,-P4,P5,Rest,P8,Rest,Rest
216.0,-P4,P5,P5,P8,P8,P1
228.0,m3,P5,P8,M3,M6,P4
240.0,P5,P8,P5,P4,P8,P5
252.0,P5,P8,P5,P4,P8,P5
264.0,P4,M6,P8,M3,P5,m3
276.0,P4,P8,Rest,P5,Rest,Rest
288.0,M3,Rest,M3,Rest,P8,Rest
300.0,Rest,Rest,Rest,P1,P8,P8
312.0,Rest,P5,P5,Rest,Rest,P8
324.0,-P5,P1,P8,P5,P5,P8
336.0,-P4,M3,Rest,M6,Rest,Rest
348.0,-P4,P5,Rest,P8,Rest,Rest
360.0,-P4,P5,P5,P8,P8,P1
372.0,-m3,P4,P5,m6,m7,M2
384.0,P4,m6,P8,m3,P5,M3
396.0,P4,m6,P8,m3,P5,M3
408.0,M3,M6,M3,P4,P8,P5
420.0,P4,P8,Rest,P5,Rest,Rest
432.0,P4,Rest,P8,Rest,P5,Rest
444.0,Rest,Rest,Rest,P5,P5,P1
456.0,Rest,P8,P8,Rest,Rest,P1
468.0,-P4,Rest,P5,Rest,P8,Rest
480.0,-P5,P8,Rest,P5,Rest,Rest
492.0,-M6,P5,Rest,M3,Rest,Rest
504.0,-M6,P5,m3,M3,P8,-M3
516.0,P1,P8,P5,P8,P5,-P4
528.0,P4,P8,M6,P5,M3,-m3
540.0,P5,m3,P8,m6,P4,-m3
552.0,P4,P8,P8,P5,P5,P1
564.0,M6,M3,Rest,P5,Rest,Rest
576.0,P5,Rest,P5,Rest,P8,Rest
588.0,Rest,Rest,Rest,P4,P8,P5
600.0,Rest,P8,P5,Rest,Rest,P5
612.0,P4,Rest,P8,Rest,P5,Rest
624.0,P4,M2,Rest,-m3,Rest,Rest
636.0,P5,P5,Rest,P1,Rest,Rest
648.0,M3,P5,P5,m3,m3,P1
660.0,P4,P8,m6,P5,m3,-M3
672.0,P4,P8,M6,P5,M3,-m3
684.0,m3,m7,P5,P5,M3,-m3
696.0,P4,P8,P8,P5,P5,P1
708.0,P4,P8,Rest,P5,Rest,Rest
720.0,P4,Rest,P8,Rest,P5,Rest
732.0,Rest,Rest,Rest,M3,P5,m3
744.0,Rest,M6,P8,Rest,Rest,m3
756.0,P4,Rest,P8,Rest,P5,Rest
768.0,m3,P5,Rest,M3,Rest,Rest
780.0,P4,P8,Rest,P5,Rest,Rest
792.0,M6,M3,M3,P5,P5,P1
804.0,P1,P5,P8,P5,P8,P4
816.0,P5,P8,P5,P4,P8,P5
828.0,M3,P8,P5,m6,m3,P5
840.0,m3,P8,m3,M6,P8,m3
852.0,P4,P8,Rest,P5,Rest,Rest
864.0,-P5,Rest,P8,Rest,P5,Rest
876.0,Rest,Rest,Rest,P5,P5,P8
888.0,Rest,P5,P5,Rest,Rest,P8
900.0,-M3,Rest,P8,Rest,M3,Rest
912.0,m3,P5,Rest,M3,Rest,Rest
924.0,P4,P8,Rest,P5,Rest,Rest
936.0,-P4,P5,P5,P8,P8,P1
948.0,P1,m7,P8,m7,P8,M2
960.0,M6,P8,M3,m3,P5,M3
972.0,P5,m7,M2,m3,P5,M3
984.0,P5,P8,P5,P4,P8,P5
996.0,P4,P5,Rest,M2,Rest,Rest
1008.0,m3,Rest,P5,Rest,M3,Rest
1020.0,Rest,Rest,Rest,M3,M3,P1
1032.0,Rest,M3,M3,Rest,Rest,P1
1044.0,P4,Rest,P8,Rest,P5,Rest
1056.0,P5,P5,Rest,P8,Rest,Rest
1068.0,P4,P8,Rest,P5,Rest,Rest
1080.0,M6,M3,P8,P5,m3,-M3
1092.0,m3,m3,m7,P8,P5,-P4
1104.0,-P4,P5,M3,P8,M6,-m3
1116.0,-P5,m6,P4,m3,P8,-m3
1128.0,-P4,P5,P5,P8,P8,P1
1140.0,Rest,Rest,Rest,P8,Rest,Rest
1152.0,Rest,Rest,Rest,Rest,P5,Rest
1164.0,Rest,P4,P8,Rest,Rest,P5
1176.0,Rest,M6,Rest,Rest,Rest,Rest
1188.0,Rest,Rest,Rest,P1,P1,P1
1200.0,P1,P8,M6,P8,M6,-m3
1212.0,Rest,Rest,Rest,P5,P5,P1
1224.0,Rest,Rest,Rest,Rest,P5,Rest
1236.0,Rest,M3,P5,Rest,Rest,m3
1248.0,Rest,P8,Rest,Rest,Rest,Rest
1260.0,Rest,Rest,Rest,P5,P5,P1
1272.0,P5,P8,P5,P4,P8,P5
1284.0,Rest,Rest,Rest,M3,P5,m3
1296.0,Rest,Rest,Rest,Rest,P8,Rest
1308.0,Rest,M2,M2,Rest,Rest,P8
1320.0,Rest,m3,Rest,Rest,Rest,Rest
1332.0,Rest,Rest,Rest,P5,P5,P1
1344.0,P1,m3,P5,m3,P5,M3
1356.0,Rest,Rest,Rest,P4,P8,P5
1368.0,Rest,Rest,Rest,Rest,P5,Rest
1380.0,Rest,P5,P5,Rest,Rest,P1
1392.0,Rest,P5,P8,Rest,Rest,-P5
1404.0,Rest,Rest,Rest,M6,P4,-M3
1416.0,P4,P8,M6,P5,M3,-m3
1428.0,P4,P8,P8,P5,P5,P1
1440.0,,,Rest,,Rest,Rest
